City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
2,Touros,BR,85.1,light rain,-5.1989,-35.4608,INN NEW HORIZON
5,Butaritari,KI,81.36,few clouds,3.0707,172.7902,Isles Sunset Lodge
7,Rikitea,PF,78.08,light rain,-23.1203,-134.9692,People ThankYou
16,Port Augusta,AU,78.71,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
21,Rio Grande,BR,78.94,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
26,Atuona,PF,77.99,few clouds,-9.8,-139.0333,Villa Enata
33,Bengkulu,ID,77.56,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
41,Trelew,AR,87.96,clear sky,-43.249,-65.3051,Hotel Touring Club
45,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
46,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
48,Port Alfred,ZA,75.42,scattered clouds,-33.5906,26.891,The Halyards Hotel
49,Vaini,TO,81.84,overcast clouds,-21.2,-175.2,Keleti Beach Resort
51,Georgetown,MY,82.33,haze,5.4112,100.3354,Cititel Penang
53,Wajid,SO,84.18,broken clouds,3.8093,43.2471,xamdihotelresturant114
54,Carnarvon,AU,75.27,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
55,Labuhan,ID,78.89,overcast clouds,-6.8844,112.2051,DoubleFAG
57,Villa Del Rosario,CO,82.78,scattered clouds,7.8339,-72.4742,Hotel Villas de San Diego
60,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
65,Meulaboh,ID,78.04,light rain,4.1363,96.1285,Kost Pria
68,Maragogi,BR,84.43,light rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
72,Sechura,PE,81.19,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
73,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
