City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
0,Soltsy,58.1239,30.3238,30.13,94,100,10.07,RU,overcast clouds
1,Norman Wells,65.282,-126.8329,-2.16,84,75,3.44,CA,light snow
2,Touros,-5.1989,-35.4608,85.1,62,31,12.41,BR,light rain
3,Albany,42.6001,-73.9662,25.81,52,75,1.99,US,broken clouds
4,Punta Arenas,-53.15,-70.9167,60.12,55,29,3.69,CL,scattered clouds
5,Butaritari,3.0707,172.7902,81.36,79,24,13.96,KI,few clouds
6,Airai,-8.9266,125.4092,61.39,90,84,3.02,TL,broken clouds
7,Rikitea,-23.1203,-134.9692,78.08,77,27,19.24,PF,light rain
8,Dubbo,-32.25,148.6167,68.13,83,75,8.05,AU,broken clouds
9,Busselton,-33.65,115.3333,59.09,74,0,11.79,AU,clear sky
10,Te Anau,-45.4167,167.7167,42.73,86,100,1.63,NZ,overcast clouds
11,Ribeira Grande,38.5167,-28.7,61.2,67,40,9.22,PT,scattered clouds
12,Castro,-24.7911,-50.0119,70.92,93,97,7.05,BR,overcast clouds
13,Coquimbo,-29.9533,-71.3436,67.03,73,34,8.99,CL,scattered clouds
14,Ushuaia,-54.8,-68.3,49.66,71,75,19.57,AR,light intensity drizzle
15,Geraldton,-28.7667,114.6,72.01,68,0,14.97,AU,clear sky
16,Port Augusta,-32.5,137.7667,78.71,74,72,17.34,AU,broken clouds
17,Chulym,55.0997,80.9572,-12.21,100,94,5.75,RU,overcast clouds
18,Terrace,54.5163,-128.6035,22.42,89,84,1.99,CA,broken clouds
19,Muros,42.7762,-9.0603,59.5,64,0,3.62,ES,clear sky
20,Maldonado,-34.6667,-54.9167,68.23,51,13,14.23,UY,few clouds
21,Rio Grande,-32.035,-52.0986,78.94,54,47,19.6,BR,scattered clouds
22,Hami,42.8,93.45,23.77,42,3,3.04,CN,clear sky
23,Jackson,42.4165,-122.8345,28.27,86,0,0.0,US,clear sky
24,Tuktoyaktuk,69.4541,-133.0374,-19.64,100,77,9.04,CA,broken clouds
25,Barcelona,41.3888,2.159,57.18,80,0,2.3,ES,clear sky
26,Atuona,-9.8,-139.0333,77.99,76,23,19.57,PF,few clouds
27,Kahului,20.8947,-156.47,65.68,86,0,4.61,US,clear sky
28,Mataura,-46.1927,168.8643,40.48,94,98,2.13,NZ,overcast clouds
29,Gumrak,48.7826,44.3824,19.31,93,100,8.95,RU,overcast clouds
30,Dubrovytsya,51.5744,26.565,32.68,96,100,13.47,UA,overcast clouds
31,Sioux City,42.5,-96.4003,38.19,54,100,8.99,US,overcast clouds
32,Kapaa,22.0752,-159.319,69.12,59,3,2.53,US,clear sky
33,Bengkulu,-3.8004,102.2655,77.56,86,100,3.29,ID,overcast clouds
34,Wanning,18.8003,110.3967,71.44,89,37,5.5,CN,scattered clouds
35,Jamestown,42.097,-79.2353,23.02,31,97,10.0,US,overcast clouds
36,Kaitangata,-46.2817,169.8464,47.93,86,100,2.62,NZ,overcast clouds
37,Shimoda,34.6667,138.95,38.1,69,86,11.23,JP,overcast clouds
38,Cabo San Lucas,22.8909,-109.9124,71.15,49,40,3.44,MX,scattered clouds
39,Yellowknife,62.456,-114.3525,-5.28,84,40,9.22,CA,scattered clouds
40,Ukiah,39.1502,-123.2078,48.65,76,0,0.0,US,clear sky
41,Trelew,-43.249,-65.3051,87.96,23,0,11.16,AR,clear sky
42,Novo Selo,41.4139,22.8811,33.64,77,11,6.17,MK,few clouds
43,Hasaki,35.7333,140.8333,39.6,59,100,12.01,JP,overcast clouds
